# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:25:57 AEST 2019 [seed=1557725155661]
# -overwrite GSS_strict_random_het_rel1_sim_4.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
320000	-37932.98994126416	-633.0861184285002	-37299.90382283566	66.83666121823538	-61.83666121823538	1192.6786689303117	409.49633092418776	0.056755619518006784	0.8703891423198131	0.001047843083018643	0.0010478430830186429	-37299.90382283566	0.0	-627.7388352291825
325000	-37927.21312445971	-632.5729047338397	-37294.64021972587	64.49651984011534	-59.49651984011534	1180.2483352348136	475.0623018157293	0.07878468868686261	0.8564082491806717	0.001050698906135732	0.0010506989061357323	-37294.64021972587	0.0	-626.5789496950613
330000	-37922.23473350917	-626.1180971065139	-37296.11663640266	58.75440179218884	-53.75440179218884	1115.4416000624094	488.1246156531378	0.08143436870483534	0.8327437081514503	0.0011364039920572927	0.0011364039920572922	-37296.11663640266	0.0	-619.9432477760779
335000	-37899.14072663932	-602.1711891941719	-37296.96953744515	49.04218884178799	-44.04218884178799	871.1478817796036	283.60568099789435	0.08143436870483534	0.8748191862868709	0.0014597416854489047	0.0014597416854489043	-37296.96953744515	0.0	-597.7045274033053
340000	-37893.052991447075	-589.01330179929	-37304.03968964778	43.20669728726587	-38.20669728726587	775.7642113080424	321.9499249310352	0.10422243695609623	0.8703604538902205	0.0016215019878266525	0.0016215019878266536	-37304.03968964778	0.0	-584.0525463800719
345000	-37905.352779030334	-595.3981762844634	-37309.95460274587	46.207505846689564	-41.207505846689564	823.5921948573039	388.22481742574826	0.10422243695609623	0.782796526930682	0.0015066922593889446	0.001506692259388944	-37309.95460274587	0.0	-590.0334345485408
350000	-37885.17309856534	-577.9693751172922	-37307.20372344805	36.73070962204157	-31.730709622041573	687.8390337416628	228.2670072214429	0.11168636880807226	0.8648863942500595	0.0017691757813495443	0.001769175781349544	-37307.20372344805	0.0	-573.8862007734447
355000	-37889.17429160683	-589.478756553438	-37299.6955350534	43.540395068612824	-38.540395068612824	778.1081375665311	285.92828210471157	0.09399991522891615	0.8365048400315084	0.001621311038479938	0.0016213110384799372	-37299.6955350534	0.0	-584.954066537049
360000	-37903.48063035068	-603.6874287083403	-37299.79320164234	52.471974255828464	-47.471974255828464	890.6977421069037	410.61677078457683	0.09399991522891615	0.8718344538831109	0.0014355427767527437	0.0014355427767527428	-37299.79320164234	0.0	-597.956531036204
365000	-37905.702055356516	-606.731333631833	-37298.97072172468	49.003548024032725	-44.003548024032725	911.0634243386976	469.5421330600303	0.10253957713685735	0.8551544222143646	0.0014036538821836108	0.0014036538821836115	-37298.97072172468	0.0	-600.4583555591953
370000	-37905.47921922905	-609.7696912598077	-37295.70952796924	54.34732884234912	-49.34732884234912	945.3885597824082	397.70501246503835	0.09620633700145631	0.8720709580057823	0.001377555917265872	0.0013775559172658715	-37295.70952796924	0.0	-604.1919523695097
375000	-37899.27577355216	-605.6333993578253	-37293.642374194336	51.95347076083122	-46.95347076083122	912.3159766148226	340.0470911793969	0.09424565318554468	0.8018247438838693	0.001381117876203898	0.0013811178762038981	-37293.642374194336	0.0	-600.7979064962099
380000	-37904.0987559876	-594.5564418479162	-37309.54231413968	46.86794975666243	-41.86794975666243	821.1323583873868	336.3349847761573	0.09866705719561697	0.898851876679306	0.0015466651302725699	0.0015466651302725699	-37309.54231413968	0.0	-589.4403385282881
385000	-37898.2490363807	-577.7062487176652	-37320.542787663035	35.54912427155655	-30.54912427155655	680.6959010905208	223.99727925367867	0.10508121908147205	0.900695397025431	0.0019500758122142138	0.0019500758122142135	-37320.542787663035	0.0	-573.4363615148691
390000	-37904.99671672583	-596.1663718541236	-37308.830344871705	44.18944990410481	-39.18944990410481	832.2607468510953	335.9911599742848	0.1029666187165097	0.8623240056235751	0.0015473007554710073	0.0015473007554710082	-37308.830344871705	0.0	-591.1112473649623
395000	-37888.36847908369	-591.2100086279597	-37297.15847045573	45.250326517285785	-40.250326517285785	790.9834349012497	336.70432896575846	0.1012454544752488	0.8071007283414883	0.0016506359405551998	0.0016506359405552003	-37297.15847045573	0.0	-586.184293448402
400000	-37919.79451596583	-621.0504875650662	-37298.74402840076	59.192159881355394	-54.192159881355394	1062.6572383903776	381.87134598745956	0.07536400365749651	0.8778365976502744	0.001209384192846183	0.001209384192846183	-37298.74402840076	0.0	-615.7811268404976
405000	-37919.68549693137	-624.3022671961161	-37295.38322973526	62.72678645871266	-57.72678645871266	1099.3247124755833	420.55936475603517	0.07372286443089382	0.8671012770750143	0.0011903016162156611	0.0011903016162156618	-37295.38322973526	0.0	-618.6706849778142
410000	-37923.764568472805	-635.6217137028007	-37288.142854770005	69.51435780468863	-64.51435780468863	1225.436733166024	483.4310510646199	0.067140960584819	0.8869064127748637	0.0010653996961465196	0.0010653996961465205	-37288.142854770005	0.0	-629.4410632664534
415000	-37938.17193953068	-642.1204276028343	-37296.05151192784	68.53722853227474	-63.53722853227474	1268.6027404805848	413.7820017210743	0.067140960584819	0.8794344329469412	0.0010461097875475495	0.0010461097875475488	-37296.05151192784	0.0	-636.6561390513516
420000	-37946.043417926674	-626.0965949325348	-37319.94682299414	60.655178164639054	-55.655178164639054	1101.800622729629	469.8175702769133	0.067140960584819	0.875078203431961	0.0011356139345184738	0.0011356139345184747	-37319.94682299414	0.0	-620.045008049707
